200,SpeedGlow Elite,$347.88,$111.96,62
201,SuperCharge 300,$499.70,$185.20,86
202,PowerDrive Pro,$493.26,$190.75,58
203,EcoMax 900,$379.82,$49.94,8
204,HyperDrive X,$367.09,$112.42,73
205,PowerStar 3000,$375.37,$196.64,65
206,EcoDrive Plus,$446.64,$107.66,31
207,GigaForce X,$474.43,$134.42,15
208,CoolTech Pro X,$359.66,$27.51,38
209,PowerStar 3000,$273.49,$83.33,70
210,EcoTech Plus,$232.27,$173.30,31
211,PowerDrive Pro,$205.68,$41.43,26
212,MegaDrive Ultra,$464.87,$141.14,50
213,HyperMax Pro,$375.04,$43.51,14
214,SuperNova Ultra,$269.97,$75.49,29
215,EcoStar 900,$465.59,$165.33,58
216,SpeedGlow Elite,$240.60,$11.72,9
217,UltraGlow 300,$465.65,$197.41,67
218,UltraWave 300,$484.01,$112.64,41
219,MaxiBoost 900,$267.38,$95.21,36
220,MegaTech Ultra,$227.44,$130.23,49
221,PowerPulse Elite,$277.37,$130.93,12
222,MegaDrive Ultra,$455.15,$74.44,93
223,SpeedTech Elite,$314.67,$85.14,2
224,CoolTech Pro X,$381.73,$112.62,93
